,transaction_id,total_price,purchased_products
0,a4e7ee11-6fd3-41cd-86f6-e2fbfcffd719,2.31,['butter']
1,e5f457b8-9548-4da3-ba35-9a15617622d2,9.46,"['yogurt', 'milk', 'chicken', 'banana', 'potato']"
2,23afdf7b-5233-4bd8-86e9-68b357d90926,9.35,"['orange', 'coffee', 'cereal']"
3,0e5f69c5-ff78-4e1b-baf3-87d830d5b7c7,1.65,"['potato', 'milk']"
4,4936a88b-3b3a-4099-9d6f-970d74dffa67,12.82,"['chicken', 'bread', 'egg', 'coffee']"
5,2dc0e738-3b01-4e14-8e78-d3ae841b71d7,11.66,"['chicken', 'milk', 'orange', 'chocolate', 'yogurt']"
6,e09e786b-f81c-44e8-aea6-df7d084fa2bc,7.04,"['potato', 'milk', 'tomato', 'banana', 'cereal']"
7,bcb99931-d6da-4583-b5b9-8624b0ac3f4f,3.52,"['potato', 'rice', 'banana', 'milk']"
8,37e68355-6ae1-4f24-a3a7-08df381af97d,5.94,"['banana', 'butter', 'bread']"
9,05d8139b-eab2-471a-8bd7-9e187ddf6a68,4.57,"['cheese', 'potato']"
10,21ff499e-40bd-497c-af01-1c963db0e974,1.43,['yogurt']
11,70427687-4095-4cfb-a26a-de14a38d2f92,10.18,"['cheese', 'apple', 'butter', 'yogurt', 'rice']"
12,e290ded8-7c06-4038-86bb-5c04ab47360f,1.1,['orange']
13,5dce7536-8283-4ba8-91d2-4450dc8522c1,5.72,"['potato', 'butter', 'banana', 'orange', 'rice']"
14,42f167d0-931e-444c-a916-f0be35d4d568,9.57,"['egg', 'yogurt', 'cereal', 'cheese']"
15,edd543c9-996e-4e61-9915-88b010955472,0.16,['egg']
16,0fe9c3bf-00a6-4a1b-88bb-a7fb02d2a60b,5.89,"['apple', 'egg', 'coffee']"
17,5c25567e-9a27-49ad-a33d-0fa0471aa0a4,5.06,"['yogurt', 'banana', 'potato', 'butter']"
18,11d6e23b-6085-4727-bb90-22c4d3b9575c,0.66,['tomato']
19,4c6a23df-5dfb-41b4-8048-87979f5ca7e7,4.4,['coffee']
20,51e069da-0376-4168-882d-9eb24c2e8704,6.16,"['yogurt', 'orange', 'butter', 'apple']"
21,de56adbc-60e8-4c8c-bf99-dfc884918938,9.02,"['chicken', 'orange', 'chocolate']"
22,a061a3b0-cff3-481a-813b-f8480b611ae5,11.72,"['chicken', 'milk', 'cheese', 'banana']"
23,13e4297a-043d-493d-b9a6-b418343f36ec,6.93,"['cereal', 'chocolate', 'tomato']"
24,076a4217-a3f7-4244-b781-46920101a6ee,11.72,"['chicken', 'bread', 'banana', 'egg', 'chocolate']"
25,eaf785d1-3474-41e9-a111-0328392bc351,7.92,"['chocolate', 'chicken']"
26,2ab3dc49-d892-4b96-9153-b24a631291da,6.22,"['egg', 'orange', 'milk', 'bread', 'rice']"
27,c87acda5-bb28-4bf4-a86e-baedb2b1ac0d,8.42,"['banana', 'cheese', 'tomato', 'bread']"
28,5fd2418b-358a-4953-9e06-fc44459f67f6,6.49,"['coffee', 'yogurt', 'tomato']"
29,dc6f4d7c-05ab-47dc-8bab-e518c856ccb0,12.6,"['cheese', 'tomato', 'chicken', 'butter']"
30,dc44b182-a3d3-4ab3-a033-93b57168b0e6,16.89,"['rice', 'cereal', 'cheese', 'chicken', 'chocolate']"
31,eeec550e-faef-49b1-aa07-59df1db842bb,16.94,"['coffee', 'egg', 'chicken', 'bread', 'cheese']"
32,44d16635-f847-49fd-8a2b-f17ea7e6c63c,0.16,['egg']
33,eba687ef-a75b-41db-90c2-15a74bb521b8,3.41,"['chocolate', 'rice']"
34,515de1d4-52af-4188-997c-d285fabc476d,4.84,"['tomato', 'bread', 'yogurt']"
35,dd30104f-c22a-450b-9c08-2ff5ea5726a4,6.05,"['apple', 'cheese', 'potato', 'egg']"
36,b3988d49-c603-4f44-9e62-e6aa493ae44e,11.33,"['apple', 'bread', 'cereal', 'butter', 'orange']"
37,66933484-64bf-44bc-9863-8dcd4bba70be,6.65,"['coffee', 'egg', 'yogurt', 'tomato']"
38,f4084ca8-a24c-453e-ac65-5ed5bc83364f,8.03,"['tomato', 'chocolate', 'rice', 'bread', 'milk']"
39,58f06968-9c41-4870-a497-61cbe0ec3ace,4.4,['coffee']
40,eb80f3ae-3f56-471b-bcac-08f4e389aa28,2.75,['bread']
41,a9998ff1-67d0-4403-9951-2956435b01f5,3.08,"['chocolate', 'tomato']"
42,ca17990e-84da-4b5d-8e40-7bd8ac109e42,1.21,['milk']
43,2d69a065-1281-4e91-86c6-ed53937d0e68,8.14,"['coffee', 'apple', 'chocolate']"
44,bb3f14c9-35ca-44dd-a6b8-90a6518de475,5.39,"['egg', 'cheese', 'orange']"
45,15d87c7b-a934-44a6-a307-291097ae4668,2.31,['butter']
46,d8febb0f-10ee-440c-bcfc-82acebc41d3a,12.37,"['coffee', 'bread', 'orange', 'cheese']"
47,cb847c33-088a-48da-9ded-434590cf0308,6.65,"['cheese', 'milk', 'apple']"
48,edd5a78a-ca49-4cf8-b040-2464bac42b06,5.61,"['cheese', 'egg', 'apple']"
49,3f30d15b-edae-41cf-af70-2f9667fa3ee3,7.26,"['tomato', 'bread', 'cereal']"
50,72546fb5-bacc-44c9-a16a-b9da6b07bfe1,8.36,"['chicken', 'potato', 'chocolate']"
51,152745cc-93fe-49a9-82af-988bb800aff3,6.16,"['rice', 'chocolate', 'butter', 'potato']"
52,0a6ebcfd-d5a9-498a-bb1d-f96835eff5e7,6.22,"['orange', 'butter', 'milk', 'yogurt', 'egg']"
53,d4d68e98-f57d-48ff-84ea-9427be588b2c,11.88,"['potato', 'chicken', 'cereal', 'yogurt', 'tomato']"
54,bfd41713-1c95-4f4f-af70-7cc390b676af,5.33,"['milk', 'cheese']"
55,45485a2f-be5a-4d20-9674-8c6f6c7dea1b,7.81,"['yogurt', 'chicken', 'banana']"
56,93867637-858e-49b3-92ab-08c24142206f,1.32,['apple']
57,060cdd4a-f667-4ce0-b482-022d56fc1e3b,3.19,"['banana', 'butter']"
58,59eccf05-1daa-44f8-80d8-491ba5a1fe19,4.24,"['tomato', 'butter', 'orange', 'egg']"
59,af878c9e-5d23-4ee1-8d9a-9a083b73faba,8.03,"['bread', 'coffee', 'banana']"
60,000de42e-21b9-4b12-8b22-9101828ce3b2,4.13,['cheese']
61,c41f0d3a-873e-4a3c-81cc-7b500e9f1b77,5.5,['chicken']
62,e9f24ca2-128d-4af1-aaba-d15defbea9d0,2.15,"['egg', 'tomato', 'apple']"
63,cfbac576-5ce6-485c-bd4e-3320bbeff05e,6.99,"['apple', 'egg', 'chicken']"
64,ba094167-c4dc-4351-a528-c4d2a6313bee,1.54,"['banana', 'tomato']"
65,bbf5be1d-a6fe-46e2-9033-811fce87f15c,15.57,"['cheese', 'chicken', 'rice', 'orange', 'cereal']"
66,9ec2b9b6-e117-4437-87ef-757694317669,5.17,"['rice', 'bread', 'yogurt']"
67,376de99b-b0d7-45f1-8914-7b0726c12748,10.78,"['potato', 'bread', 'chicken', 'rice', 'orange']"
68,9c42740c-6782-49f9-a941-327309cc4230,9.35,"['chicken', 'cereal']"
69,1634e95f-f605-47c5-9e9d-5584abb64d25,6.05,"['bread', 'chocolate', 'banana']"
70,e3babb07-2211-4ccd-84ef-2b7871bc8621,7.48,"['tomato', 'apple', 'milk', 'cereal', 'potato']"
71,e931458c-3240-4ed9-bcbd-2555bd146a85,6.43,"['orange', 'cheese', 'milk']"
72,822625b0-d976-4e25-a010-c2c0fbaed38e,4.18,"['chocolate', 'tomato', 'orange']"
73,ad5c896d-7ecc-47fd-995d-2a7266f60a78,0.44,['potato']
74,f6b779d4-0fba-48b7-8dec-69b88dd81640,3.08,"['rice', 'milk', 'banana']"
75,bfcd9eea-ed5b-4ab0-9148-fa4c8233931c,0.44,['potato']
76,cca8abe0-9b39-447c-bcc3-cc95c708ff14,11.22,"['chicken', 'banana', 'apple', 'milk', 'butter']"
77,69500966-bdfe-4e8a-b543-cb1f1e10627b,9.35,"['cereal', 'chicken']"
78,07f18193-4bc0-403d-893f-83053ded0f7b,6.82,"['orange', 'apple', 'coffee']"
79,7ebc28c9-583b-4651-8434-7d70a7dfb746,2.31,"['yogurt', 'banana']"
80,94b68ede-5fce-4008-831e-903723c7851f,10.78,"['coffee', 'chicken', 'banana']"
81,47be923e-1f0d-4118-ae3e-dd5306b500b5,14.08,"['cereal', 'rice', 'yogurt', 'chicken', 'butter']"
82,eab76c77-ee64-433c-a465-4e8d8fe02d21,2.31,"['banana', 'yogurt']"
83,e488c892-daa3-4da6-aab8-3eaa395aadd3,4.4,['coffee']
84,b8dd81b0-da30-4d93-83c3-d0cad85a3257,2.53,"['milk', 'apple']"
85,bd2f2d07-d38b-4ff1-88c5-27c88eccb2d3,5.17,"['chocolate', 'bread']"
86,b5b19702-56c4-441c-a73e-b84675de4e16,10.89,"['rice', 'bread', 'coffee', 'apple', 'yogurt']"
87,b7de3912-6526-4945-af92-44ab9ffc13cf,2.09,"['orange', 'rice']"
88,dc276be6-71ad-4fef-94bb-20f78832a7c7,0.16,['egg']
89,fac772cc-2028-477b-8af7-c8d943b0b79c,7.98,"['butter', 'egg', 'chicken']"
90,a3261d1d-7dac-4480-a707-a277c15e1341,0.99,['rice']
91,0bf0b90c-53d2-4d79-a26b-6a34360a1ef2,9.18,"['tomato', 'cheese', 'milk', 'banana', 'butter']"
92,bbfc3c23-5598-4cf0-9add-d1480bfeb505,4.68,"['bread', 'orange', 'tomato', 'egg']"
93,62d5463b-956f-470e-afcb-58ff3c74491d,8.58,"['milk', 'orange', 'cereal', 'chocolate']"
94,7635039d-374d-4814-a924-af22362878e7,6.49,"['rice', 'chicken']"
95,89abca89-0da3-49a7-9222-e2310325cb1a,16.55,"['chicken', 'cheese', 'milk', 'coffee', 'apple']"
96,f5691fbe-9658-413a-922d-a026f0498556,2.2,"['apple', 'banana']"
97,6d4b0194-e41c-4bf1-aab8-0e250c06564f,8.14,"['coffee', 'rice', 'yogurt', 'apple']"
98,be9d8e37-5ab9-4317-a2aa-b00380cec8a2,4.07,"['bread', 'apple']"
99,8eae9f13-f83d-44e5-9d8e-6861af564244,9.08,"['cheese', 'yogurt', 'milk', 'butter']"
100,d2736d50-1ccf-43da-a182-a4ddfeca2b5c,2.31,['butter']
101,d0a85bc4-c26f-479b-bb29-88775983a621,7.26,"['chocolate', 'potato', 'coffee']"
102,2ecd0ee9-b4f6-4604-9518-9efe9af130e9,3.47,"['egg', 'yogurt', 'banana', 'rice']"
103,7b62bce4-fd85-41af-9cef-83e0a4aac304,7.37,"['milk', 'coffee', 'potato', 'apple']"
104,b9d84c13-1496-45fe-a8c7-6a563df2969b,10.01,"['butter', 'banana', 'chocolate', 'coffee']"
105,af428e26-15ac-4709-a565-28a5d0857e66,5.23,"['cheese', 'orange']"
106,d28ea7ed-9086-4dbc-8393-b71e54a02486,11.28,"['coffee', 'cheese', 'banana', 'potato', 'yogurt']"
107,b6c4109a-11c5-490a-9f0f-b16c5a4ff102,1.65,"['tomato', 'rice']"
108,dbd1b2ce-d5fa-4a74-b273-ca3ee7220b69,3.58,"['egg', 'tomato', 'bread']"
109,b7be94b9-3feb-461e-937a-c6b46b2a89e1,17.38,"['chocolate', 'chicken', 'coffee', 'cereal', 'milk']"
110,27ce40d1-e8f8-4e21-8ca4-baafaa597271,5.17,"['chocolate', 'bread']"
111,79eb2097-42e2-4904-9d24-6a5d79744a14,6.99,"['chocolate', 'orange', 'rice', 'butter', 'egg']"
112,777a23a6-1440-4a76-8de7-dfee15fac226,8.64,"['chocolate', 'cheese', 'orange', 'rice']"
113,513a4f34-8c97-4743-a7dd-eb4ad5202c60,7.59,"['butter', 'orange', 'bread', 'yogurt']"
114,63b69e0d-9f70-42ef-9919-ac9d8f063e4f,7.48,"['bread', 'butter', 'chocolate']"
115,0800376d-4e86-4018-84e3-7b227dbf93e7,9.68,"['coffee', 'potato', 'rice', 'chocolate', 'yogurt']"
116,5ee6263b-a78c-47b2-8045-29004a886dbd,3.85,['cereal']
117,2857f4a3-53d2-43f0-9377-d44f30d3bc12,4.07,"['apple', 'bread']"
118,9bc8b94f-ee40-479c-90b9-435066d42db1,4.73,"['banana', 'cereal']"
119,4e46ccc4-14e4-42ff-865c-77d18c24eaa6,12.21,"['coffee', 'butter', 'chicken']"
120,2afdc646-a36a-4f62-8a56-4ee072b5e493,13.09,"['rice', 'chicken', 'chocolate', 'yogurt', 'bread']"
121,41fd9aa1-8d40-4ad2-99bc-eeba8be011c2,9.41,"['cereal', 'rice', 'cheese', 'potato']"
122,71f4bc49-8a50-4afd-aab6-eaf8859e3204,9.18,"['chicken', 'egg', 'butter', 'milk']"
123,11d1d5eb-6524-476e-b886-8ed71877d42f,2.31,['butter']
124,dbc0242e-9ebc-4ed9-9675-c4e32eb1a570,8.03,"['yogurt', 'orange', 'chicken']"
125,23c92fb7-33d0-480c-891f-c590672fa713,4.4,['coffee']
126,d7279469-509a-4054-8f18-6978f74230c3,1.1,['orange']
127,72ff7e6a-9b5f-4cab-96c7-57103e9a8cba,3.63,"['butter', 'potato', 'banana']"
128,9591311b-a1bd-4854-bbc1-2407fb0e8905,6.16,"['bread', 'orange', 'apple', 'rice']"
129,4c5444e4-0b20-4f8e-b768-0a64667f72ce,2.09,"['tomato', 'rice', 'potato']"
130,00a8810c-e234-4863-860f-ba4cf90ed27a,1.54,"['banana', 'tomato']"
131,20a1fa65-3a36-431e-af9e-66adf2212a7e,5.83,"['tomato', 'yogurt', 'apple', 'chocolate']"
132,312b9f67-5619-4d69-978b-633432235008,4.07,"['yogurt', 'apple', 'banana', 'potato']"
133,2bc42494-5fc0-4ea9-a33c-b9928facbf62,2.31,['butter']
134,792d226c-a698-4982-8578-7d11602de073,13.59,"['cereal', 'coffee', 'milk', 'cheese']"
135,5dc6ffde-c00a-40de-8104-24fb696edaff,4.4,['coffee']
136,b5f88467-32f5-46ed-882b-bd4517ade4f1,0.88,['banana']
137,95eb81f0-2b09-4c30-97a4-1f0cc79dd6a7,14.96,"['cheese', 'bread', 'egg', 'chocolate', 'chicken']"
138,dab645d9-fd12-49c0-a8f7-d9ccf778cf8e,5.56,"['potato', 'cheese', 'rice']"
139,f1e55456-acf7-42db-99f2-53fcf2d54efa,5.72,"['coffee', 'apple']"
140,397920a7-4a48-4edf-987c-2344044243f8,10.29,"['banana', 'yogurt', 'cheese', 'cereal']"
141,09a84d4b-5936-4fa8-95b3-9ce2b35108a5,10.39,"['orange', 'cheese', 'apple', 'cereal']"
142,0129b694-562b-42f3-bca3-e06548d4b9b4,7.54,"['tomato', 'bread', 'cheese']"
143,d5d20927-e62d-46d7-ac86-26f3b0c5a03a,2.31,"['banana', 'yogurt']"
144,86479afd-61aa-4b4a-be61-9eabc7a0e83d,7.48,"['bread', 'butter', 'chocolate']"
145,fab6ec1f-da45-4cb1-937a-529eeaed4b15,4.24,"['milk', 'potato', 'egg', 'chocolate']"
146,bdf07042-3d8f-4b15-b7d2-3242fb49d454,1.43,['yogurt']
147,1e4c420c-a1e2-4c38-b19d-c4dbd6444443,2.09,"['tomato', 'yogurt']"
148,ae5f7e41-4805-42e9-86ce-38bbc945721a,1.1,['orange']
149,ba0666e3-6193-4e06-bf85-4ca19903b7fc,3.85,['cereal']
150,290c4ce6-6da3-4f88-9bd2-b44955d7e3eb,14.19,"['coffee', 'rice', 'chocolate', 'banana', 'chicken']"
151,2e4ee1f9-7a96-4636-906c-510115e1bd13,4.4,['coffee']
152,70554399-5e13-42db-b406-2f87103e87ee,2.81,"['yogurt', 'milk', 'egg']"
153,c24300c1-2858-40b9-bcf2-20d71a8c9355,10.78,"['apple', 'cereal', 'coffee', 'milk']"
154,c3721a35-304b-4949-bb9c-910bb0603dc9,9.63,"['yogurt', 'chicken', 'milk', 'apple', 'egg']"
155,87e0a50b-6375-4769-bad2-0a9b6e1dfa4c,12.43,"['yogurt', 'potato', 'cereal', 'butter', 'coffee']"
156,a0c89f44-c814-4b0b-9dae-2517a36ecdb2,9.19,"['egg', 'chicken', 'chocolate', 'orange']"
157,21a1ebaf-0dae-48a8-854a-4444119465ed,4.4,['coffee']
158,f4eab132-8ffb-4fbd-88ed-ec7f38a33c12,4.01,"['cereal', 'egg']"
159,a5d2a3e6-37c1-4a99-8e80-eef9004715f4,1.43,['yogurt']
160,44ccac92-4f45-4a47-8e31-138d37febed7,10.67,"['chicken', 'apple', 'cereal']"
161,cc89aa5e-a15a-42a4-b89b-04fd645cc727,12.32,"['chocolate', 'butter', 'potato', 'coffee', 'bread']"
162,c3213155-1e49-4473-9c2a-e67c08854bc0,9.79,"['butter', 'coffee', 'tomato', 'chocolate']"
163,0f920a64-ea68-46e9-816c-9d7ed7ae2242,9.79,"['cheese', 'egg', 'tomato', 'rice', 'cereal']"
164,bd932000-759f-42d8-ad43-db9c5b016dda,5.01,"['cereal', 'rice', 'egg']"
165,1c018b05-9d6f-46d0-9691-cba868fcf086,0.88,['banana']
166,86b3bc39-348d-47b3-823a-f655f5d5f3f2,6.05,"['milk', 'rice', 'cereal']"
167,7941c701-5a9a-4b52-bb47-b02c6186c06f,5.67,"['potato', 'orange', 'cheese']"
168,98cecd68-4208-4a5f-b7b4-60f9b89d9724,0.99,['rice']
169,a5daf076-f443-4f2d-b671-87a89dec2131,1.43,['yogurt']
170,2b1c9893-2da9-46c4-8edb-4ca95052248d,9.63,"['chicken', 'cheese']"
171,c7c6980c-8ddd-4a7b-8f9f-8215cd733369,12.43,"['chocolate', 'coffee', 'orange', 'tomato', 'cereal']"
172,fb2c520d-a80e-4fe3-a272-01bd941d20d0,4.51,"['tomato', 'cereal']"
173,5f91aff1-5492-4f62-819c-71d0ab9d6ac5,2.42,['chocolate']
174,9d5831c2-fdad-4fc6-9c52-7a69a611d663,1.59,"['yogurt', 'egg']"
175,1dae2bd3-0651-4afe-a719-3e5012236a99,7.48,"['chocolate', 'cereal', 'milk']"
176,c70c2acd-c5ae-498a-8a27-3431f1fcabec,6.71,"['butter', 'tomato', 'apple', 'chocolate']"
177,a0568120-47b0-4117-9cca-db73bbd0116f,3.08,"['potato', 'milk', 'yogurt']"
178,4f7d9490-6031-4dc0-af0b-7e63a6f80144,2.42,"['rice', 'yogurt']"
179,02723fe3-ac72-48f1-9d5a-2fc01f60f4d9,3.63,"['apple', 'yogurt', 'banana']"
180,426fba0d-3b27-44f2-bb5c-913e48c4b8a7,9.02,"['butter', 'milk', 'chicken']"
181,deda31d8-29a9-4669-a7c0-065f1dc6d044,14.24,"['bread', 'yogurt', 'cheese', 'potato', 'chicken']"
182,ab1d60f7-9ace-4428-adec-a5343a162793,6.16,"['tomato', 'chicken']"
183,a739145d-26a9-492b-9522-bfcea86f5725,2.86,"['apple', 'orange', 'potato']"
184,676b34cf-bdf2-4c32-9c0b-6100155eabd0,12.65,"['yogurt', 'chicken', 'coffee', 'apple']"
185,c6a6a088-4417-4132-b600-6e6d5290673f,8.31,"['orange', 'yogurt', 'egg', 'milk', 'coffee']"
186,5645ef07-ad77-442f-ab24-7f3389d9e5b4,10.83,"['yogurt', 'chicken', 'egg', 'bread', 'rice']"
187,4e50fe35-1ad9-4f45-86ae-d687ead862f4,5.5,"['butter', 'potato', 'bread']"
188,69d91c15-1b21-466e-b0dc-30988558aa3f,8.14,"['yogurt', 'coffee', 'butter']"
189,222b5011-3e50-45d8-b48d-acf920b54ec2,11.66,"['tomato', 'chicken', 'coffee', 'orange']"
190,ae37e76a-1071-4a6e-a3c7-f971db192cc4,6.6,"['chicken', 'orange']"
191,9c261181-6c92-4d0e-9c62-c4b131f87df2,7.32,"['egg', 'coffee', 'orange', 'rice', 'tomato']"
192,63698ea5-de05-4f96-853b-a19e006d495b,4.18,"['bread', 'yogurt']"
193,f2c4a5bb-4d9b-49a2-866f-3dd79f1ad7db,2.42,['chocolate']
194,5912aa3e-7e71-4249-a707-30b39cf2a51b,12.87,"['tomato', 'coffee', 'chicken', 'orange', 'milk']"
195,48f5b715-39d8-4900-82cc-e6f60996efa4,2.75,['bread']
196,1cfc2e09-e321-48ae-9660-10904b418fe2,5.83,"['yogurt', 'coffee']"
197,a49fd32e-bd44-4e4d-befb-94bd96e41826,7.04,"['chocolate', 'apple', 'yogurt', 'tomato', 'milk']"
198,043a9ac4-854f-42b3-893d-3db3204cef2e,13.31,"['rice', 'orange', 'coffee', 'chicken', 'apple']"
199,ecec1b4f-b719-4d42-81df-6b6bb41e58c0,13.26,"['chocolate', 'milk', 'chicken', 'cheese']"
200,8d6c582c-39a4-4786-886c-5aac2f3d19af,6.6,"['chicken', 'orange']"
201,e6867275-ce53-43be-a39c-b5260b508d74,9.85,"['butter', 'rice', 'cheese', 'chocolate']"
202,c34d715a-e15e-46b2-b5ff-445c7a036711,15.29,"['cereal', 'chicken', 'banana', 'bread', 'butter']"
203,26603a1d-c2c0-4ee9-b40b-517c9c1b4b42,9.9,"['bread', 'rice', 'chicken', 'tomato']"
204,8dc04dc4-abbe-4fd5-86fd-3c5270e374b4,12.49,"['coffee', 'chocolate', 'chicken', 'egg']"
205,761374bc-7176-4b7b-a0a2-eb15dbde4e14,8.03,"['yogurt', 'butter', 'potato', 'cereal']"
206,ad3a81de-497b-4a61-8342-7698852e5d83,2.42,['chocolate']
207,cbfc33a2-bf59-4f81-9bda-d22c4255b945,14.68,"['butter', 'chicken', 'bread', 'cheese']"
208,86be3943-f7f1-47da-a53e-804cdd71c1b0,5.5,['chicken']
209,60dbb68f-f4ba-4ba8-9a7b-46237118404a,3.25,"['egg', 'tomato', 'chocolate']"
210,becfe2d8-3e82-4b41-ad7d-1a7800f8732b,14.68,"['milk', 'bread', 'cheese', 'orange', 'chicken']"
211,c35f0bd5-8336-4bc4-8ba9-a79832d2a794,0.88,['banana']
212,410215a7-1f4b-4a92-b9a2-a9c035a383c4,4.4,"['orange', 'chocolate', 'banana']"
213,b5290d8e-5a09-4658-8880-49f133c3af9a,2.75,"['apple', 'yogurt']"
214,0dca9735-f039-4b11-aa8f-cd8d982e25f0,7.81,"['cereal', 'bread', 'milk']"
215,5a11ef96-5e00-4883-b8c9-025e3cd84db4,2.75,['bread']
216,8f3d9c6d-e446-4d62-8b62-4127b127a263,3.85,"['tomato', 'milk', 'orange', 'banana']"
217,2a543d29-6ca6-4022-bbe8-5ea4a23e394e,6.27,"['yogurt', 'butter', 'apple', 'milk']"
218,03c6c1d9-16bb-4101-8ae3-fedad101bf4d,0.99,['rice']
219,6491f831-055c-4186-b246-fd0ec36f8ef9,9.63,"['cheese', 'chicken']"
220,bd40cb31-ef96-4994-9926-37ba0f4fa01d,2.42,['chocolate']
